Nombre,Descripcion,Vendedor,Imagenes
Velas de Cera de Soja Artesanales,"Vela elaborada con cera de soja en envase de yeso. Medida: 7cm de ancho x 4cm de alto. Proceso de elaboración: En un recipiente a baño maría se coloca la cera con medidas exactas a temperatura entre 80° y 70°, luego entre 60° y 65° se agregan las respectivas medidas de endurecedor, fragancia y colorante, hecho previamente en recipientes separados. Las mismas se mezclan durante 2 minutos y a una temperatura de 45° a 50° se vierte en envase con su respectivo pabilo, el tiempo de estacionamiento es de 15 a 20 días. Envase de yeso. Medida: 4cm de alto x 7cm de diámetro. Proceso de elaboración: Se coloca las medidas en recipientes, 39g de agua y 56g de yeso, se deja reposar 1 minuto hasta que el agua absorba el yeso, se mezcla y se vierte en el molde de silicona. Desmoldar de 30 a 60 minutos, secado total 24 horas. Sellado del envase con sellador al agua.",zara sanchez,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/Vela-aromatica-zara-sanchez.jpg
Llaveros en Resina Epoxi,Llaveros y accesorios realizados en resina epóxica moldeados y pigmentados con una amplia variedad de colores y formas.,Jose Rodriguez,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20250922-WA0004-Jose-Rodriguez.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/Screenshot_20250922-205420-Jose-Rodriguez.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20250922-WA0007-Jose-Rodriguez.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20250922-WA0006-Jose-Rodriguez.jpg
Figura Representativa del Cóndor de Mendoza,"Trabajo realizado íntegramente en hierro reciclado, moldeado, soldado, pulido y pintado a mano.",Jose Rodriguez,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/Screenshot_20250922-194045-Jose-Rodriguez.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250922_192927-Jose-Rodriguez-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250922_193629-Jose-Rodriguez-scaled.jpg
Maqueta de Motocicleta Estilo Custom,"Trabajo realizado íntegramente en hierro reciclado, moldeado, soldado, pulido y pintado a mano.",Jose Rodriguez,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250616_123721-Jose-Rodriguez-scaled.jpg
Ristros al Telar,"Para las fajas se utiliza lanas ya procesada es decir hilda de de varios colores, las medidas son a comodidad del cliente y llevan un proceso aproximado de un mes .",Marilu Noelia Palavecino,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20250922-WA00251-Marilu-Noelia-Palavecino.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250922_165358511_MFNR_PORTRAIT-Marilu-Noelia-Palavecino-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20250922-WA0023-Marilu-Noelia-Palavecino.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20250922-WA0024-Marilu-Noelia-Palavecino.jpg
Manta al Telar,"Las medidas y diseños van a depender siempre de lo que quiera el cliente y del producto que se vaya a realizar. La materia prima principal es la lana de oveja. Primero se realiza la esquila, luego la lana se lava y se limpia para quitar impurezas. Después se procede al hilado, torciendo las fibras hasta formar hilos firmes. Con esos hilos se hace el teñido, usando colores naturales o preparados. Finalmente, en el telar vertical mapuche se van tejiendo los diseños que dan vida a cada prenda o accesorio.",Marilu Noelia Palavecino,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250922_165504071_MFNR_PORTRAIT-Marilu-Noelia-Palavecino-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250922_165440416_MFNR-Marilu-Noelia-Palavecino-scaled.jpg
Frutas y Verduras en MDF,"El juego contiene varias frutas o verduras,tabla y cuchillo de madera. Frutas y verduras realizadas con maderas recicladas y mdf de 9mmm, tienen abrojo para que los niños simulen cortar de manera segura. Pintados con productos No tóxicos",Vanina Carreras,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250730_110231427-Vanina-Carreras-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250730_104412462-Vanina-Carreras-1-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250730_104412462-Vanina-Carreras-scaled.jpg
Tablero de Encastre,"Es un juguete diseñado para que los niños desarrollen habilidades motoras y cognitivas a través del juego. Incluye piezas de diferentes formas, tamaño y color.",Vanina Carreras,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_1619-Vanina-Carreras-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/thumbnail-1-Vanina-Carreras.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/thumbnail-2-Vanina-Carreras.jpg
Juego de la Memoria,"Juego de la Memoria Contiene 20 piezas de 6x6cm, realizados en mdf de 3mm. Dibujados y pintados a mano.",Vanina Carreras,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_1669-Vanina-Carreras-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_1656-Vanina-Carreras-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_1659-Vanina-Carreras-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_1666-Vanina-Carreras-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_1671-Vanina-Carreras-scaled.jpg
Baberos,Un aliado para mamá Baberos impermeables… Confeccionado en gabardinas e impermeable.,Yesica Gonzalez,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250917_112711-Yesica-Gonzalez-scaled.jpg
Bolso Organizador Maternal,Set maxi (bolsito de mano y cambiador) Un accesorio donde llevar lo esecial para tu bebe…,Yesica Gonzalez,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250811_162529-Yesica-Gonzalez.jpg
Porta Libreta de Salud,Un accesorio esencial para las mamas y llevar los documentos de su bebe organizados. Esta Confeccionado con gabardina y tela impermeables para mejor uso y más durabilidad,Yesica Gonzalez,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250714_123554-Yesica-Gonzalez-scaled.jpg
Tartas Dulces,Variedad de tartas Cabsha Lemon pie Pasta Frola Coco y dulce de leche Ricota Frutos rojos Frutales,Ariadna Chirino,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20200109_223745-Ariadna-Chirino-scaled.jpg
Budines,Budín de Naranja,Ariadna Chirino,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250919_0954312-Ariadna-Chirino-scaled.jpg
Pie de Cama,"Realizado con tela mantera rústica, en colores claros y sobrios, tiene un proceso de desflecado que le da un detalle rústico al espacio donde se lo utilice. Las técnicas utilizadas son realizadas con maquina de coser, tal como ruche para los detalles de volados, terminaciónes en overlok para mas proligidad y seguridad de la costura, tejido en macramé con distintos niveles de complejidad en los nudos para lograr tramas armoniosas y esteticamente agradables… terminaciones en crochet para detalles distintivos y delicados.",Natali Luque,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250708_133138-Natali-Luque-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250521_150126-Natali-Luque-scaled.jpg
Almohadon Deco en Tusor y Macramé,"Funda tejida realizada con técnica de nudos de macramé en hilo de algodón, combinada con tela tusor premium… la técnica presenta un entramado complejo y simétrico que da un toque clásico a la pieza.",Natali Luque,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250730_172223-Natali-Luque-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250711_152732-Natali-Luque-scaled.jpg
Cesto Organizador de Cocina,"Realizado en tela nido de abeja y tusor con detalle de puntilla, la pieza busca dar un toque delicado al ambiente donde se lo utilice… es reversible para brindar dos opciones esteticas, es ideal para organizar el espacio de una forma estética y práctica.",Natali Luque,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20231018_152339-Natali-Luque-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250905_113240-Natali-Luque-scaled.jpg
Individuales,"Confeccionado en yute rectangular pintado y bordado con cintas * En todos los casos se utiliza bolsas de yute recicladas (descarte de tostaderos) creando productos nuevos, cosidos a maquina, haciendolos resistentes (bolsos, mantas, caminos de mesa, individuales, alfombras, delantales)",Puro Yute,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/9.1-Puro-Yute-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/8-Individual-con-cintas-Puro-Yute-scaled.jpg
Camino de Mesa,Caminito confeccionado en tela 100% yute bordado y pintado con stencil,Puro Yute,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/10.9-Puro-Yute-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/11.3-Puro-Yute-scaled.jpg
Bolso de Yute Pintado a Mano,Bolso confeccionado en yute forrado con lienzo y pintado a mano con stencil. con cierre. Tambien puede estar bordado con cintas de colores,Puro Yute,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/4.22-Puro-Yute-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/3.4-Puro-Yute-scaled.jpg
Bolsos Playeros,Carteras y sombreros en cordon de algodón,Andrea,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20250911-WA0044-Andrea.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20250910-WA0009-Andrea.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250912_125644-Andrea-scaled.jpg
Sombreros en Cordón de Algodón,Carteras y sombreros en cordon de algodón,Andrea,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20250917-WA0054-Andrea.jpg
Panera,Panera en cordón de algodón cosido a maquina,Andrea,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20250815-WA00201-Andrea.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20250705-WA0043-Andrea.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20250705-WA0059-Andrea.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20250805-WA0049-Andrea.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20250815-WA00191-Andrea.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20250905-WA0007-Andrea.jpg
Plato de Sitio en Hilo de Algodón,"Posaplatos 32cm de diámetro, en cordón de algodón cosido a maquina Hago a pedido en cualquier tamaño",Andrea,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20250917-WA0053-Andrea.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20250326-WA0294-Andrea-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20250805-WA00311-Andrea.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20250815-WA00061-Andrea.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20250827-WA00521-Andrea.jpg
Vinchas de Tela,,Zaida Garro,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/Imagen-de-WhatsApp-2025-09-17-a-las-11.27.55_83785154-Zaida-Garro-rotated.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20230421_105810-Zaida-Garro.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/Imagen-de-WhatsApp-2025-09-17-a-las-11.27.54_6ab12bab-Zaida-Garro-rotated.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/Imagen-de-WhatsApp-2025-09-17-a-las-11.27.55_b545f81a-Zaida-Garro-rotated.jpg
Moños,,Zaida Garro,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/Imagen-de-WhatsApp-2025-09-17-a-las-11.09.56_2f88fc79-Zaida-Garro.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20230421_110925-Zaida-Garro-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/Imagen-de-WhatsApp-2025-08-19-a-las-17.54.05_e6a84c24-Zaida-Garro.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/Imagen-de-WhatsApp-2025-08-19-a-las-17.54.06_9a669f60-Zaida-Garro.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/Imagen-de-WhatsApp-2025-09-17-a-las-11.09.55_ecdd6742-Zaida-Garro.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/mono-Zaida-Garro.png
Scrunchies para el Cabello,"LOS MATERIALES SON TELAS DE TODO TIPO-PLANAS- ELASTICAS , BATISTA , LINO, POPLIN, VILLELA, PLUSH, ENTRE OTRAS , LOS TAMAÑOS SON DE 10CM A 50CM , PARA BEBES, NIÑAS, ADULTAS , LAS COSTURA SON CON MAQUINA DE COSER Y LAS TERMINACIONES FINALES A MANO , SE USA ELASTICO FORRADO.",Zaida Garro,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20230421_110333-Zaida-Garro-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20241126_120016-Zaida-Garro-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/Imagen-de-WhatsApp-2025-08-18-a-las-19.06.48_50c7f5ee-Zaida-Garro-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/Imagen-de-WhatsApp-2025-08-18-a-las-19.06.48_50c7f5ee-Zaida-Garro.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/Imagen-de-WhatsApp-2025-08-18-a-las-19.06.59_af090630-Zaida-Garro.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/Imagen-de-WhatsApp-2025-09-15-a-las-11.44.28_c5fc6d92-Zaida-Garro.jpg
Tapices en Macramé,"Tapices – Porta macetas – Sostenedores de Cortinas – Accesorios en Macramé – Atrapa sueños Utulizamos hilos, piolas, en algodon, yute, hilo sisal y otros. A traves del trenzado de nudos se pueden crear muchos objetos dentro del macrame, tanto decorativos como tapices a otros como sujeta cortinas. Y el tema de cesteria para cestos, apoya vasos y otros.",Clara Leonor Rodriguez,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250604_133350-COLLAGE-Clara-Leonor-Rodriguez-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250414_224712-COLLAGE-Clara-Leonor-Rodriguez-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250419_132641-Clara-Leonor-Rodriguez-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250504_140406-COLLAGE-Clara-Leonor-Rodriguez-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20250601-WA0017-Clara-Leonor-Rodriguez.jpg
Platos de Sitio y Posavasos en Yute o en Algodón,"Utilizamos hilos, piolas, en algodon o yute, hilo sisal y otros.",Clara Leonor Rodriguez,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250822_205743-COLLAGE-Clara-Leonor-Rodriguez-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250822_191652-Clara-Leonor-Rodriguez-scaled.jpg
Borlas,"Flores en tela con telas varias, diversidad de colores y formas, engomadas. Utilización de ramas naturales recicladas. Para adornos varios y tambien como apliques en otros elementos. Metodo de pegado con silicona y cocidas según el caso.",Clara Leonor Rodriguez,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250514_184405-Clara-Leonor-Rodriguez-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250415_110123-Clara-Leonor-Rodriguez-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250508_173037-COLLAGE-Clara-Leonor-Rodriguez-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250514_184320-Clara-Leonor-Rodriguez-scaled.jpg
Flores de Tela,"Flores en tela con telas varias, diversidad de colores y formas, engomadas. Utilización de ramas naturales recicladas. Para adornos varios y tambien como apliques en otros elementos. Metodo de pegado con silicona y cocidas según el caso.",Clara Leonor Rodriguez,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20240816_153429-Clara-Leonor-Rodriguez-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250905_212213-Clara-Leonor-Rodriguez-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250905_212255-Clara-Leonor-Rodriguez-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250907_161605-Clara-Leonor-Rodriguez-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/InShot_20250127_140457401-Clara-Leonor-Rodriguez.jpg
Cuellito de Lana,"Si queres estar super calentita en invierno… acá encontras tu solución. Dobles o simples, con tu color favorito. Todo a dos agujas.",Dos_Agujas,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/WhatsApp-Image-2025-06-04-at-16.43.55-Dos_Agujas.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20210503_202454-Dos_Agujas-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20210621_001017-Dos_Agujas-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20220415_122951-Dos_Agujas-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG-20220325-WA0383-Dos_Agujas.jpg
Top a Crochet,Todo a gusto de nuestro cliente. Variedad de modelos y colores a gusto.,Dos_Agujas,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20230920_174822-Dos_Agujas-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20230115_114302-Dos_Agujas-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20230117_202523-Dos_Agujas-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20230831_173631-Dos_Agujas-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20231221_120459-Dos_Agujas-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/WhatsApp-Image-2025-06-04-at-16.43.54-Dos_Agujas.jpeg
Flores Tejidas,"Son tejidas al crochet con variedad de modelos, y con detalles que el cliente desee.",Dos_Agujas,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/ramo-flores.jpg-Dos_Agujas.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250723_114115-Dos_Agujas-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20250827_093245-Dos_Agujas-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/WhatsApp-Image-2025-08-28-at-20.06.11-1-Dos_Agujas.jpeg
Alforja para Herramientas,Se usa en el costado del pantalón ya que tiene el agarre correspondiente para el mismo Cogote vacuno pintado,Issis da luz,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250410_171654241_HDR-Issis-da-luz-scaled.jpg
Matera pintada a Mano,Realizada en cogote vacuno. Altura 22 cm Técnica: repujado Pintado a mano,Issis da luz,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250410_170345903_HDR-Issis-da-luz-scaled.jpg
Cinturón de Cuero,Cinturón de cuero Producto realizado en cogote vacuno. .Totalmente a mano. Técnica: cincelado,Issis da luz,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250410_171813466_HDR-Issis-da-luz-scaled.jpg
Gorras Personalizadas,Tazas de polímero excelente calidad,Rodrigo Chavero,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250715_140156-Rodrigo-Chavero-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250715_140113-Rodrigo-Chavero-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250822_120845-Rodrigo-Chavero-1-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250822_120845-Rodrigo-Chavero-scaled.jpg
Tazas de Polímero,Tazas de polímero excelente calidad,Rodrigo Chavero,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250708_100008-Rodrigo-Chavero-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250720_154635-Rodrigo-Chavero-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250822_120828-Rodrigo-Chavero-1-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250822_120828-Rodrigo-Chavero-scaled.jpg
Almohadones Sublimados,Almohadones para el auto o decorar,Rodrigo Chavero,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250822_120841-Rodrigo-Chavero-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250717_224702-Rodrigo-Chavero-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250720_154651-Rodrigo-Chavero-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250810_115908-Rodrigo-Chavero-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_20250822_120855-Rodrigo-Chavero-scaled.jpg
Porta Celulares,Porta celular Con correa regulable Telas impermeables y eco cuero,Pamela Alcaraz,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_0781-Pamela-Alcaraz-scaled.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/20230917_100726_Original-Pamela-Alcaraz-scaled.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_4060-Pamela-Alcaraz-scaled.jpeg
Cartuchera,Cartucheras tamaño mediano,Pamela Alcaraz,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_1599-Pamela-Alcaraz-scaled.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_0073-Pamela-Alcaraz-scaled.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_4108-Pamela-Alcaraz-scaled.jpeg
Bolso,Bolso facultativo Con Correa y Bolsillos,Pamela Alcaraz,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_1555-Pamela-Alcaraz-scaled.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_1557-Pamela-Alcaraz-scaled.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_1558-Pamela-Alcaraz-scaled.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_4831-Pamela-Alcaraz-scaled.jpeg
Centro de Mesa,Me gusta trabajar reciclando..en este caso usé una botella de color celeste q al llevarla al horno se fusiona quedando totalmente plana y así poder usarla por ejemplo de centro de mesa pintándola en este caso con imágenes bien regionales copas uvas y también colocando diferentes tamaños de vidrios para crear nuestra montaña.. terminado este proceso se vuelve a hornear por última vez,Claudia Martinez,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_9415-Claudia-Martinez.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_9414-Claudia-Martinez.jpeg
Taza Vendimial de Cerámica,Esta taza está totalmente modelada a mano ..trabajando con barbotina y arcilla..la taza la hago por colado y las parras hojas y granos de uva modelado con arcilla luego pintada con engobe para después bizcochar y posteriormente cristalizarla para su horneada final..se puede usar perfectamente para tomar infusiones,Claudia Martinez,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_9408-Claudia-Martinez.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/IMG_9409-Claudia-Martinez.jpeg
Morrales y Riñoneras,"Accesorios diseñados para la vida en movimiento: mochilas, morrales, riñoneras y maletines para el gimnasio. Prácticos, resistentes y cómodos. Ideales para quienes se mueven por la ciudad en bici, transporte público o caminando, sin perder estilo ni funcionalidad. Uso telas planas resistentes como cordura, tapicería, corduroy.",Aivi Sissa,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/1000050501-Aivi-Sissa.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/1000051412-Aivi-Sissa.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/1000051422-Aivi-Sissa-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/1000051947-Aivi-Sissa.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/Imagen-de-WhatsApp-2025-09-15-a-las-09.34.29_29f42d49-Aivi-Sissa.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/Imagen-de-WhatsApp-2025-09-15-a-las-09.34.29_c0b26518-Aivi-Sissa.jpg
Bolsos - Carterítas de Tela Reciclada,"Bolsos pequeños y coquetos para salir liviana, con el toque justo de diseño y personalidad. Perfectos para encuentros, salidas y momentos especiales donde menos es más. Uso telas planas resistentes como tapicería y ecocuero, e incorporo bisutería recuperada.",Aivi Sissa,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/1000045456-Aivi-Sissa.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/1000050956-Aivi-Sissa.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/1000050958-Aivi-Sissa.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/1000051410-Aivi-Sissa.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/1000051421-Aivi-Sissa-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/09/Imagen-de-WhatsApp-2025-09-15-a-las-09.07.10_5c1a703f-Aivi-Sissa.jpg
